Instition Sigle.CMCII_Institution,Sigle,Sector
Accountant General's Department (AGD),AGD,Banking and Finance
AFRICEL,AFRICEL,Information and Communications
AGIB Bank,AGIB,Banking and Finance
APS,APS,Banking and Finance
Central Bank of The Gambia (CBG),CBG,Banking and Finance
DK Telecom,DK Telecom,Information and Communications
Ecobank ,Ecobank ,Banking and Finance
Edward Francis Teaching Hospital (EFTH),EFTH,Health and Well‐Being
Food Safety and Quality Authority (FSQA),FSQA,"Food, Agriculture and Environment"
Gam Ferries Services (GFS),GFS,Transport
Gam Petroleum (GP),GP,"Power, Energy and Water"
Gambia Armed Forces (GAF),GAF,National Defense and Security
Gambia Bureau of Statistics (GBoS),GBoS,Education & Research
Gambia Fire and Rescue Services (GFRS),GFRS,Emergency Services
Gambia ICT Agency (GICTA),GICTA,Information and Communications
Gambia International Airlines (GIA),GIA,Transport
Gambia Maritime Administration (GMA),GMA,Transport
Gambia National Petroleum Company (GNPC) ,GNPC,"Power, Energy and Water"
Gambia Police Force (GPF),GPF,National Defense and Security
Gambia Ports Authority (GPA),GPA,Transport
Gambia Prisons Services(GPS),GPS,National Defense and Security
Gambia Radio and Television Services (GRTS) ,GRTS,Information and Communications
Gambia Submarine Cable Landing Station (GSC),GSC,Information and Communications
Gambia Transport Service Company (GTSC),GTSC,Transport
Gamcel,Gamcel,Information and Communications
Gampost,Gampost,General Government
GTBank,GTBank,Banking and Finance
Medical and Dental Council (MDCG),MDCG,Health and Well‐Being
Ministry of Basic and Secondary Education (MOBSE),MOBSE,Education & Research
Ministry of Fishery and Water Resources (MoFWR ),MoFWR,"Power, Energy and Water"
"Ministry of Higher Education, Research, Science and Technology (MOHERST)",MOHERST,Education & Research
National Assembly (NA),NA,General Government
National Audit Office (NAO),NAO,General Government
National Disaster Management Agency (NDMA),NDMA,Emergency Services
National Early Warning & Response Mechanism (NCCRM),NCCRM,Emergency Services
National Environment Agency (NEA),NEA,"Food, Agriculture and Environment"
National Records Service (NRS),NRS,General Government
National Water and Electricity Company (NAWEC),NAWEC,"Power, Energy and Water"
PURA & GmCSIRT,PURA & GmCSIRT,Information and Communications
Social Security and Housing Finance Corporation (SSHFC),SSHFC,Banking and Finance
The Department of Information Services (DOIS),DOIS,Information and Communications
The Gambia Judiciary,The Gambia Judiciary,Justice and Legal Affairs
The Gambia Pharmacy Council (GPC),GPC,Health and Well‐Being
Trust Bank,Trust Bank,Banking and Finance
Unique Solutions,Unique Solutions,Information and Communications
Wave Mobile Money Gambia. (WAVE),WAVE,Banking and Finance
